Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter
NextSense_10,Mobility,Ride Sharing,Delhi,Peak XV,Seed,54000,2020-05-19,2020,2
LogiMart,FinTech,NeoBank,Mumbai,Falcon Edge,Pre-Series A,933000,2023-04-10,2023,2
LogiMart,FinTech,NeoBank,Mumbai,Peak XV,Pre-Series A,933000,2023-04-10,2023,2
CoreFlow,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Series A,680000,2023-10-07,2023,4
CoreFlow,SaaS,DevTools,Hyderabad,SoftBank Vision Fund,Pre-Series A,680000,2023-10-07,2023,4
CoreFlow,SaaS,DevTools,Hyderabad,Ventures India,Pre-Series A,680000,2023-10-07,2023,4
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,2020-07-23,2020,3
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,2024-12-05,2024,4
NextSense,Mobility,Micro Mobility,Hyderabad,A91 Partners,Series A,1643000,2024-07-10,2024,3
NextSense,Mobility,Micro Mobility,Hyderabad,Falcon Edge,Series A,1643000,2024-07-10,2024,3
NextSense,Mobility,Micro Mobility,Hyderabad,Prosus Ventures,Series A,1643000,2024-07-10,2024,3
Zomato,HealthTech,Pharmacy,Mumbai,Blume Ventures,Private Equity,201485000,2024-02-29,2024,1
Zomato,HealthTech,Pharmacy,Mumbai,Elevation Capital,Private Equity,201485000,2024-02-29,2024,1
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,2025-01-28,2025,1
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,2024-04-28,2024,2
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,2023-02-22,2023,1
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,2022-05-30,2022,2
Mobikwik,Retail,E-Retail,Pune,Accel,Seed,84000,2021-05-26,2021,2
Mobikwik,Retail,E-Retail,Pune,Bessemer Venture Partners,Seed,84000,2021-05-26,2021,2
Mobikwik,Retail,E-Retail,Pune,IFC,Seed,84000,2021-05-26,2021,2
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global,Angel,12000,2021-04-29,2021,2
EduTech,FinTech,Lending,Pune,IFC,Series C,53939000,2022-04-23,2022,2
EduTech,FinTech,Lending,Pune,Matrix Partners India,Series C,53939000,2022-04-23,2022,2
EduTech,FinTech,Lending,Pune,Zodius Capital,Series C,53939000,2022-04-23,2022,2
AeroStack,FinTech,InsurTech,Gurugram,Y Combinator,Seed,269000,2025-02-23,2025,1
AeroStack,FinTech,InsurTech,Gurugram,Zodius Capital,Seed,269000,2025-02-23,2025,1
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global,Seed,905000,2024-11-05,2024,4
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,2020-02-26,2020,1
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,2022-06-08,2022,2
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,2021-01-24,2021,1
DriveEdge_29,Retail,Fashion,Gurugram,LCatterton,Pre-Series A,111000,2020-05-23,2020,2
DriveEdge_29,Retail,Fashion,Gurugram,Prosus Ventures,Pre-Series A,111000,2020-05-23,2020,2
DriveEdge_29,Retail,Fashion,Gurugram,Ribbit Capital,Pre-Series A,111000,2020-05-23,2020,2
NeoTech,Logistics,Fleet Management,Hyderabad,A91 Partners,Series B,26948000,2021-10-30,2021,4
NeoTech,Logistics,Fleet Management,Hyderabad,Kedaara Capital,Series B,26948000,2021-10-30,2021,4
CloudLabs,FoodTech,Grocery,Delhi,A91 Partners,Series A,1587000,2021-09-08,2021,3
CloudLabs,FoodTech,Grocery,Delhi,Sequoia Capital India,Series A,1587000,2021-09-08,2021,3
SmartTech,Retail,Fashion,Ahmedabad,Info Edge,Series B,5988000,2022-08-10,2022,3
SmartTech,Retail,Fashion,Ahmedabad,Lightspeed India,Series B,5988000,2022-08-10,2022,3
FarmBox,Retail,Fashion,Delhi,Prosus Ventures,Series B,69429000,2021-08-04,2021,3
FarmBox,Retail,Fashion,Delhi,Ribbit Capital,Series B,69429000,2021-08-04,2021,3
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,2021-02-11,2021,1
HomeMart,AgriTech,Supply Chain,Kolkata,Kedaara Capital,Pre-Series A,643000,2023-07-13,2023,3
HomeMart,AgriTech,Supply Chain,Kolkata,Lightspeed India,Pre-Series A,643000,2023-07-13,2023,3
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,2021-03-24,2021,1
SmartMart_37,EdTech,Test Prep,Kolkata,A91 Partners,Seed,72000,2022-08-09,2022,3
SmartMart_37,EdTech,Test Prep,Kolkata,Falcon Edge,Seed,72000,2022-08-09,2022,3
SmartMart_37,EdTech,Test Prep,Kolkata,SoftBank Vision Fund,Seed,72000,2022-08-09,2022,3
Ola,AgriTech,Marketplace,Noida,Blume Ventures,Pre-Series A,483000,2025-01-31,2025,1
Ola,AgriTech,Marketplace,Noida,Info Edge,Pre-Series A,483000,2025-01-31,2025,1
FarmBox,Retail,E-Retail,Hyderabad,Elevation Capital,Series C,65870000,2022-12-03,2022,4
FarmBox,Retail,E-Retail,Hyderabad,Ribbit Capital,Series C,65870000,2022-12-03,2022,4
Dunzo,Media,Content,Gurugram,Accel,Seed,78000,2021-10-16,2021,4
Dunzo,Media,Content,Gurugram,Nexus Venture Partners,Seed,78000,2021-10-16,2021,4
AeroHub,Media,Social,Mumbai,Mirae Asset,Pre-Series A,313000,2021-11-08,2021,4
AeroHub,Media,Social,Mumbai,Tiger Global,Pre-Series A,313000,2021-11-08,2021,4
QuantumDrive,Retail,Fashion,Bengaluru,Sequoia Capital India,Series D,54120000,2024-04-16,2024,2
QuantumDrive,Retail,Fashion,Bengaluru,Y Combinator,Series D,54120000,2024-04-16,2024,2
AgriFit,FoodTech,Food Delivery,Noida,LCatterton,Series B,62216000,2023-01-23,2023,1
AgriFit,FoodTech,Food Delivery,Noida,Mirae Asset,Series B,62216000,2023-01-23,2023,1
SkillFlow,FinTech,InsurTech,Pune,Kedaara Capital,Series B,10246000,2024-06-22,2024,2
SkillFlow,FinTech,InsurTech,Pune,Zodius Capital,Series B,10246000,2024-06-22,2024,2
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,2023-09-19,2023,3
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,2021-11-01,2021,4
BlueSpace,FoodTech,Food Delivery,Chennai,A91 Partners,Seed,341000,2020-06-16,2020,2
BlueSpace,FoodTech,Food Delivery,Chennai,Sequoia Capital India,Seed,341000,2020-06-16,2020,2
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,2021-02-12,2021,1
MediWorks,RealEstate,PropTech,Ahmedabad,Matrix Partners India,Bridge,99000,2022-08-10,2022,3
MediWorks,RealEstate,PropTech,Ahmedabad,Omidyar Network,Bridge,99000,2022-08-10,2022,3
MediWorks,RealEstate,PropTech,Ahmedabad,Y Combinator,Bridge,99000,2022-08-10,2022,3
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,2020-02-22,2020,1
UrbanSolutions,Media,Social,Mumbai,Elevation Capital,Series A,8159000,2024-08-28,2024,3
UrbanSolutions,Media,Social,Mumbai,Kedaara Capital,Series A,8159000,2024-08-28,2024,3
UrbanSolutions,Media,Social,Mumbai,Matrix Partners India,Series A,8159000,2024-08-28,2024,3
Housejoy,Retail,Fashion,Bengaluru,Falcon Edge,Seed,1600000,2022-05-27,2022,2
Housejoy,Retail,Fashion,Bengaluru,SoftBank Vision Fund,Seed,1600000,2022-05-27,2022,2
Housejoy,Retail,Fashion,Bengaluru,Y Combinator,Seed,1600000,2022-05-27,2022,2
QuantumDrive,E-commerce,Fashion,Pune,Info Edge,Series B,59765000,2024-08-24,2024,3
QuantumDrive,E-commerce,Fashion,Pune,Kedaara Capital,Series B,59765000,2024-08-24,2024,3
SkillFlow,Mobility,EV,Kolkata,IFC,Series A,5049000,2024-02-06,2024,1
SkillFlow,Mobility,EV,Kolkata,Matrix Partners India,Series A,5049000,2024-02-06,2024,1
Unacademy,Logistics,Supply Chain,Gurugram,Prosus Ventures,Series C,242794000,2023-03-13,2023,1
Unacademy,Logistics,Supply Chain,Gurugram,SoftBank Vision Fund,Series C,242794000,2023-03-13,2023,1
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,2021-06-13,2021,2
SkillSolutions,Mobility,Ride Sharing,Mumbai,A91 Partners,Seed,103000,2022-04-12,2022,2
SkillSolutions,Mobility,Ride Sharing,Mumbai,Matrix Partners India,Seed,103000,2022-04-12,2022,2
FarmBox,Consumer Electronics,Wearables,Bengaluru,Elevation Capital,Seed,59000,2021-03-29,2021,1
FarmBox,Consumer Electronics,Wearables,Bengaluru,Prosus Ventures,Seed,59000,2021-03-29,2021,1
Nykaa,Consumer Electronics,Smart Home,Noida,Kedaara Capital,Seed,166000,2024-03-07,2024,1
Nykaa,Consumer Electronics,Smart Home,Noida,SoftBank Vision Fund,Seed,166000,2024-03-07,2024,1
SkillFlow,EdTech,Test Prep,Gurugram,Peak XV,Seed,210000,2024-03-01,2024,1
SkillFlow,EdTech,Test Prep,Gurugram,Prosus Ventures,Seed,210000,2024-03-01,2024,1
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,Accel,Bridge,136000,2022-12-10,2022,4
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,Elevation Capital,Bridge,136000,2022-12-10,2022,4
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,2022-12-29,2022,4
Udaan,Mobility,EV,Delhi,Accel,Series B,13444000,2024-03-21,2024,1
Udaan,Mobility,EV,Delhi,Sequoia Capital India,Series B,13444000,2024-03-21,2024,1
HealthAnalytics,Consumer Electronics,Wearables,Delhi,Accel,Bridge,141000,2021-06-01,2021,2
HealthAnalytics,Consumer Electronics,Wearables,Delhi,Tiger Global,Bridge,141000,2021-06-01,2021,2
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,Accel,Seed,370000,2024-07-19,2024,3
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,Peak XV,Seed,370000,2024-07-19,2024,3
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,2023-06-20,2023,2
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,Omidyar Network,Debt,14625000,2021-09-17,2021,3
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,Ribbit Capital,Debt,14625000,2021-09-17,2021,3
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,2020-06-15,2020,2
Dunzo,HealthTech,Telemedicine,Chennai,Elevation Capital,Series A,14477000,2023-05-01,2023,2
Dunzo,HealthTech,Telemedicine,Chennai,Matrix Partners India,Series A,14477000,2023-05-01,2023,2
HealthAnalytics,Consumer Electronics,Audio,Gurugram,Bessemer Venture Partners,Angel,51000,2024-06-01,2024,2
HealthAnalytics,Consumer Electronics,Audio,Gurugram,Lightspeed India,Angel,51000,2024-06-01,2024,2
HealthAnalytics,Consumer Electronics,Audio,Gurugram,Omidyar Network,Angel,51000,2024-06-01,2024,2
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,2024-08-19,2024,3
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,2023-03-11,2023,1
InMobi,Media,Content,Chennai,Accel,Bridge,1012000,2022-10-21,2022,4
InMobi,Media,Content,Chennai,Mirae Asset,Bridge,1012000,2022-10-21,2022,4
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,2020-02-22,2020,1
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,2024-03-28,2024,1
Ola,Logistics,Last Mile,Ahmedabad,Mirae Asset,Series A,8074000,2024-07-25,2024,3
Ola,Logistics,Last Mile,Ahmedabad,Tiger Global,Series A,8074000,2024-07-25,2024,3
Freshworks,SaaS,HRTech,Mumbai,Elevation Capital,Series D,59295000,2021-11-06,2021,4
Freshworks,SaaS,HRTech,Mumbai,Kedaara Capital,Series D,59295000,2021-11-06,2021,4
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,2021-05-31,2021,2
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,2020-04-21,2020,2
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,2023-01-29,2023,1
Dailyhunt,Media,Content,Mumbai,Bessemer Venture Partners,Pre-Seed,84000,2023-07-14,2023,3
Dailyhunt,Media,Content,Mumbai,Kedaara Capital,Pre-Seed,84000,2023-07-14,2023,3
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,2024-09-19,2024,3
Housejoy,RealEstate,PropTech,Kolkata,Kalaari Capital,Angel,6000,2021-08-20,2021,3
Housejoy,RealEstate,PropTech,Kolkata,Kedaara Capital,Angel,6000,2021-08-20,2021,3
AgriHive,EdTech,Coding Bootcamp,Noida,Falcon Edge,Seed,157000,2021-01-25,2021,1
AgriHive,EdTech,Coding Bootcamp,Noida,IFC,Seed,157000,2021-01-25,2021,1
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,2022-11-05,2022,4
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,2022-09-29,2022,3
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global,Series A,5621000,2021-10-21,2021,4
MediWorks,EdTech,Coding Bootcamp,Bengaluru,LCatterton,Seed,1319000,2022-08-26,2022,3
MediWorks,EdTech,Coding Bootcamp,Bengaluru,Tiger Global,Seed,1319000,2022-08-26,2022,3
MediWorks,EdTech,Coding Bootcamp,Bengaluru,Y Combinator,Seed,1319000,2022-08-26,2022,3
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,2021-11-10,2021,4
Dailyhunt,E-commerce,Grocery,Kolkata,IFC,Pre-Seed,26000,2020-10-22,2020,4
Dailyhunt,E-commerce,Grocery,Kolkata,Tiger Global,Pre-Seed,26000,2020-10-22,2020,4
Dunzo,Consumer Electronics,Wearables,Pune,Accel,Series A,6900000,2022-03-25,2022,1
Dunzo,Consumer Electronics,Wearables,Pune,Prosus Ventures,Series A,6900000,2022-03-25,2022,1
Dunzo,Consumer Electronics,Wearables,Pune,SoftBank Vision Fund,Series A,6900000,2022-03-25,2022,1
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,Ribbit Capital,Growth,372329000,2020-03-14,2020,1
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,Tiger Global,Growth,372329000,2020-03-14,2020,1
SmartTech,Media,Social,Chennai,Accel,Bridge,396000,2024-04-06,2024,2
SmartTech,Media,Social,Chennai,Blume Ventures,Bridge,396000,2024-04-06,2024,2
SmartTech,Media,Social,Chennai,Kedaara Capital,Bridge,396000,2024-04-06,2024,2
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,2021-08-23,2021,3
GreenConnect,FoodTech,Grocery,Delhi,IFC,Seed,309000,2020-06-10,2020,2
GreenConnect,FoodTech,Grocery,Delhi,Ribbit Capital,Seed,309000,2020-06-10,2020,2
MediWorks,AgriTech,Supply Chain,Gurugram,Matrix Partners India,Series A,4119000,2021-06-04,2021,2
MediWorks,AgriTech,Supply Chain,Gurugram,Sequoia Capital India,Series A,4119000,2021-06-04,2021,2
InMobi,Logistics,Fleet Management,Noida,Tiger Global,Seed,242000,2022-06-23,2022,2
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global,Series A,1071000,2021-09-10,2021,3
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,2023-12-03,2023,4
AutoMart,AgriTech,Marketplace,Bengaluru,LCatterton,Angel,5000,2024-03-06,2024,1
AutoMart,AgriTech,Marketplace,Bengaluru,Zodius Capital,Angel,5000,2024-03-06,2024,1
HomeFoods,SaaS,DevTools,Gurugram,Nexus Venture Partners,Series A,5604000,2023-10-20,2023,4
HomeFoods,SaaS,DevTools,Gurugram,Prosus Ventures,Series A,5604000,2023-10-20,2023,4
HomeFoods,SaaS,DevTools,Gurugram,Ventures India,Series A,5604000,2023-10-20,2023,4
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,2022-06-21,2022,2
LogiSense,Logistics,Supply Chain,Chennai,IFC,Seed,326000,2020-09-27,2020,3
LogiSense,Logistics,Supply Chain,Chennai,Y Combinator,Seed,326000,2020-09-27,2020,3
AeroAnalytics,Enterprise,Analytics,Hyderabad,Elevation Capital,Angel,76000,2025-04-17,2025,2
AeroAnalytics,Enterprise,Analytics,Hyderabad,Tiger Global,Angel,76000,2025-04-17,2025,2
BlueSpace,Consumer Electronics,Audio,Delhi,Kedaara Capital,Series C,39284000,2021-04-07,2021,2
BlueSpace,Consumer Electronics,Audio,Delhi,Tiger Global,Series C,39284000,2021-04-07,2021,2
Mobikwik,E-commerce,Fashion,Bengaluru,Ventures India,Seed,227000,2020-09-10,2020,3
Mobikwik,E-commerce,Fashion,Bengaluru,Y Combinator,Seed,227000,2020-09-10,2020,3
CureFit,AgriTech,Smart Farming,Pune,IFC,Seed,812000,2021-04-23,2021,2
CureFit,AgriTech,Smart Farming,Pune,Sequoia Capital India,Seed,812000,2021-04-23,2021,2
NeoSense,EdTech,Test Prep,Kolkata,Kalaari Capital,Angel,10000,2021-09-10,2021,3
NeoSense,EdTech,Test Prep,Kolkata,Nexus Venture Partners,Angel,10000,2021-09-10,2021,3
NeoSense,EdTech,Test Prep,Kolkata,Peak XV,Angel,10000,2021-09-10,2021,3
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,2023-01-05,2023,1
Nykaa,RealEstate,Rental Tech,Noida,Accel,Pre-Series A,195000,2024-02-29,2024,1
Nykaa,RealEstate,Rental Tech,Noida,Blume Ventures,Pre-Series A,195000,2024-02-29,2024,1
Nykaa,RealEstate,Rental Tech,Noida,Kalaari Capital,Pre-Series A,195000,2024-02-29,2024,1
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,2022-06-29,2022,2
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,2023-08-13,2023,3
SkillSolutions,E-commerce,Fashion,Mumbai,Bessemer Venture Partners,Series B,46994000,2023-08-07,2023,3
SkillSolutions,E-commerce,Fashion,Mumbai,Omidyar Network,Series B,46994000,2023-08-07,2023,3
SkillSolutions,E-commerce,Fashion,Mumbai,Sequoia Capital India,Series B,46994000,2023-08-07,2023,3
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,2024-04-16,2024,2
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global,Pre-Seed,149000,2024-10-24,2024,4
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,2024-06-05,2024,2
PhonePe,HealthTech,Pharmacy,Bengaluru,Accel,Seed,100000,2022-05-12,2022,2
PhonePe,HealthTech,Pharmacy,Bengaluru,Tiger Global,Seed,100000,2022-05-12,2022,2
EduMart,Mobility,Micro Mobility,Mumbai,Bessemer Venture Partners,Series A,11213000,2021-03-29,2021,1
EduMart,Mobility,Micro Mobility,Mumbai,Tiger Global,Series A,11213000,2021-03-29,2021,1
Oyo,Consumer Electronics,Smart Home,Bengaluru,Accel,Seed,366000,2022-09-07,2022,3
Oyo,Consumer Electronics,Smart Home,Bengaluru,Info Edge,Seed,366000,2022-09-07,2022,3
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,2020-05-14,2020,2
NeoSense,AgriTech,Marketplace,Hyderabad,Accel,Series A,11321000,2023-05-24,2023,2
NeoSense,AgriTech,Marketplace,Hyderabad,Kedaara Capital,Series A,11321000,2023-05-24,2023,2
GreenEdge,EdTech,Coding Bootcamp,Pune,Kedaara Capital,Series C,47319000,2022-03-27,2022,1
GreenEdge,EdTech,Coding Bootcamp,Pune,SoftBank Vision Fund,Series C,47319000,2022-03-27,2022,1
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,2024-08-30,2024,3
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,2023-02-13,2023,1
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global,Growth,154344000,2024-01-16,2024,1
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,2022-09-14,2022,3
NextFlow,SaaS,B2B SaaS,Hyderabad,Tiger Global,Series A,10287000,2024-07-11,2024,3
NextFlow,SaaS,B2B SaaS,Hyderabad,Zodius Capital,Series A,10287000,2024-07-11,2024,3
GrowthFlow,RealEstate,Rental Tech,Hyderabad,LCatterton,Pre-Seed,20000,2021-07-13,2021,3
GrowthFlow,RealEstate,Rental Tech,Hyderabad,Ventures India,Pre-Seed,20000,2021-07-13,2021,3
GrowthFlow,RealEstate,Rental Tech,Hyderabad,Y Combinator,Pre-Seed,20000,2021-07-13,2021,3
BlueTech,AgriTech,Marketplace,Chennai,Accel,Seed,329000,2024-02-26,2024,1
BlueTech,AgriTech,Marketplace,Chennai,Falcon Edge,Seed,329000,2024-02-26,2024,1
BlueTech,AgriTech,Marketplace,Chennai,Tiger Global,Seed,329000,2024-02-26,2024,1
UrbanSolutions,SaaS,DevTools,Pune,IFC,Seed,233000,2021-10-26,2021,4
UrbanSolutions,SaaS,DevTools,Pune,Omidyar Network,Seed,233000,2021-10-26,2021,4
HyperLoop,AgriTech,Supply Chain,Mumbai,Info Edge,Seed,113000,2023-09-17,2023,3
HyperLoop,AgriTech,Supply Chain,Mumbai,Mirae Asset,Seed,113000,2023-09-17,2023,3
SkillFlow,Mobility,Ride Sharing,Pune,Mirae Asset,Pre-Series A,132000,2021-08-03,2021,3
SkillFlow,Mobility,Ride Sharing,Pune,Prosus Ventures,Pre-Series A,132000,2021-08-03,2021,3
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,2025-04-20,2025,2
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,2020-12-25,2020,4
HomeFoods,Enterprise,Automation,Pune,LCatterton,Seed,165000,2024-10-30,2024,4
HomeFoods,Enterprise,Automation,Pune,Sequoia Capital India,Seed,165000,2024-10-30,2024,4
HomeFoods,Enterprise,Automation,Pune,Tiger Global,Seed,165000,2024-10-30,2024,4
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global,Seed,339000,2022-04-09,2022,2
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,2025-02-26,2025,1
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,2024-11-17,2024,4
HomeAnalytics,HealthTech,Telemedicine,Noida,Bessemer Venture Partners,Series B,73980000,2022-12-22,2022,4
HomeAnalytics,HealthTech,Telemedicine,Noida,Lightspeed India,Series B,73980000,2022-12-22,2022,4
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,2020-10-26,2020,4
HyperLoop,RealEstate,PropTech,Delhi,A91 Partners,Bridge,127000,2023-07-10,2023,3
HyperLoop,RealEstate,PropTech,Delhi,Mirae Asset,Bridge,127000,2023-07-10,2023,3
EduMart,AgriTech,Marketplace,Ahmedabad,Info Edge,Seed,313000,2025-06-11,2025,2
EduMart,AgriTech,Marketplace,Ahmedabad,Mirae Asset,Seed,313000,2025-06-11,2025,2
EduMart,AgriTech,Marketplace,Ahmedabad,SoftBank Vision Fund,Seed,313000,2025-06-11,2025,2
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,2022-11-05,2022,4
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,2025-06-24,2025,2
ClearDekho,FoodTech,Food Delivery,Ahmedabad,Info Edge,Series A,1105000,2024-06-09,2024,2
ClearDekho,FoodTech,Food Delivery,Ahmedabad,LCatterton,Series A,1105000,2024-06-09,2024,2
ClearDekho,FoodTech,Food Delivery,Ahmedabad,Zodius Capital,Series A,1105000,2024-06-09,2024,2
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,2022-07-11,2022,3
DataHive,E-commerce,Grocery,Delhi,Falcon Edge,Pre-Seed,64000,2023-12-20,2023,4
DataHive,E-commerce,Grocery,Delhi,Tiger Global,Pre-Seed,64000,2023-12-20,2023,4
NextSense,Logistics,Supply Chain,Chennai,Ribbit Capital,Series C,22992000,2023-10-22,2023,4
NextSense,Logistics,Supply Chain,Chennai,Tiger Global,Series C,22992000,2023-10-22,2023,4
WorkStack_149,E-commerce,Grocery,Chennai,Nexus Venture Partners,Seed,140000,2024-01-22,2024,1
WorkStack_149,E-commerce,Grocery,Chennai,Omidyar Network,Seed,140000,2024-01-22,2024,1
WorkStack_149,E-commerce,Grocery,Chennai,Tiger Global,Seed,140000,2024-01-22,2024,1
HealthRise,HealthTech,Pharmacy,Hyderabad,Kalaari Capital,Bridge,1426000,2023-12-01,2023,4
HealthRise,HealthTech,Pharmacy,Hyderabad,Omidyar Network,Bridge,1426000,2023-12-01,2023,4
HealthRise,HealthTech,Pharmacy,Hyderabad,Peak XV,Bridge,1426000,2023-12-01,2023,4
FreshTech,RealEstate,Home Services,Delhi,Accel,Series B,9715000,2024-08-24,2024,3
FreshTech,RealEstate,Home Services,Delhi,LCatterton,Series B,9715000,2024-08-24,2024,3
FreshTech,RealEstate,Home Services,Delhi,Tiger Global,Series B,9715000,2024-08-24,2024,3
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,2021-01-04,2021,1
