Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter,Log_Amount,Stage_Group
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,812000,2021-04-23,2021,2,5.909556029241175,Early
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,10000,2021-09-10,2021,3,4.0,Early
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,66000,2023-01-05,2023,1,4.819543935541868,Early
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,195000,2024-02-29,2024,1,5.290034611362518,Early
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,91000,2022-06-29,2022,2,4.959041392321094,Early
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,81000,2023-08-13,2023,3,4.9084850188786495,Early
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,46994000,2023-08-07,2023,3,7.672042412547821,Growth
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,517000,2024-04-16,2024,2,5.713490543093942,Early
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global,Pre-Seed,149000,2024-10-24,2024,4,5.173186268412274,Early
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,2024-06-05,2024,2,5.103803720955957,Early
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,100000,2022-05-12,2022,2,5.0,Early
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,11213000,2021-03-29,2021,1,7.049721822152435,Growth
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,366000,2022-09-07,2022,3,5.563481085394411,Early
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,8905000,2020-05-14,2020,2,6.949633923799262,Growth
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,11321000,2023-05-24,2023,2,7.053884790394692,Growth
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,47319000,2022-03-27,2022,1,7.67503555803808,Late
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,75000,2024-08-30,2024,3,4.8750612633917,Early
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,37077000,2023-02-13,2023,1,7.569104586956974,Late
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global,Growth,154344000,2024-01-16,2024,1,8.188489751294373,Late
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,1022000,2022-09-14,2022,3,6.009450895798694,Early
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global, Zodius Capital",Series A,10287000,2024-07-11,2024,3,7.012288739834607,Growth
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,2021-07-13,2021,3,4.301029995663981,Early
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global",Seed,329000,2024-02-26,2024,1,5.517195897949974,Early
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,233000,2021-10-26,2021,4,5.367355921026019,Early
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,113000,2023-09-17,2023,3,5.05307844348342,Early
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,132000,2021-08-03,2021,3,5.12057393120585,Early
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,174000,2025-04-20,2025,2,5.2405492482825995,Early
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,68288000,2020-12-25,2020,4,7.834344393408357,Growth
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,165000,2024-10-30,2024,4,5.217483944213907,Early
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global,Seed,339000,2022-04-09,2022,2,5.5301996982030825,Early
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,252342000,2025-02-26,2025,1,8.401989540847282,Late
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,191000,2024-11-17,2024,4,5.281033367247727,Early
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,73980000,2022-12-22,2022,4,7.869114326979375,Growth
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,1741000,2020-10-26,2020,4,6.240798771117332,Early
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,2023-07-10,2023,3,5.103803720955957,Other
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,313000,2025-06-11,2025,2,5.495544337546448,Early
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,152000,2022-11-05,2022,4,5.181843587944773,Early
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,11014000,2025-06-24,2025,2,7.041945072145264,Growth
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,1105000,2024-06-09,2024,2,6.04336227802113,Growth
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,2022-07-11,2022,3,5.675778341674085,Other
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global",Pre-Seed,64000,2023-12-20,2023,4,4.8061799739838875,Early
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,22992000,2023-10-22,2023,4,7.36157675079015,Late
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global",Seed,140000,2024-01-22,2024,1,5.146128035678238,Early
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,2023-12-01,2023,4,6.1541195255158465,Other
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global",Series B,9715000,2024-08-24,2024,3,6.987442804935801,Growth
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,2021-01-04,2021,1,5.146128035678238,Early
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,304000,2021-08-28,2021,3,5.482873583608754,Early
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,14428000,2020-11-11,2020,4,7.159206133646325,Growth
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,2023-10-17,2023,4,5.243038048686294,Early
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,37000,2021-02-01,2021,1,4.568201724066995,Early
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,7866000,2022-05-07,2022,2,6.8957539420737275,Growth
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,1903000,2020-07-29,2020,3,6.27943878828702,Growth
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,734000,2022-06-14,2022,2,5.86569605991607,Early
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,194000,2022-10-25,2022,4,5.2878017299302265,Early
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,214425000,2023-08-24,2023,3,8.331275418749689,Late
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,111204000,2022-08-18,2022,3,8.046120409068738,Late
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,4267000,2024-01-29,2024,1,6.630122642859312,Growth
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,123000,2024-06-13,2024,2,5.089905111439398,Early
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,50673000,2023-03-23,2023,1,7.704776616642705,Growth
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,2023-03-14,2023,1,5.320146286111054,Early
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,1657000,2022-11-05,2022,4,6.219322508419337,Growth
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,2020-05-18,2020,2,5.041392685158225,Early
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,442000,2021-12-22,2021,4,5.645422269349092,Early
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,125287000,2020-05-09,2020,2,8.097906010170805,Late
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,1046000,2024-07-27,2024,3,6.019531684531255,Growth
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,331000,2024-06-25,2024,2,5.519827993775719,Early
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,1847000,2022-10-15,2022,4,6.266466895440241,Growth
NextStack,Media,Content,Mumbai,A91 Partners,Series A,5738000,2024-08-11,2024,3,6.75876054390998,Growth
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,1604000,2024-01-09,2024,1,6.205204363948145,Growth
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global",Debt,7325000,2021-07-16,2021,3,6.8648076290261475,Other
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,2020-10-19,2020,4,5.318063334962762,Other
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,2025-04-28,2025,2,5.936513742478893,Early
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,1451000,2022-12-20,2022,4,6.161667412437736,Growth
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,2518000,2022-03-03,2022,1,6.401055725771844,Growth
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,76000,2020-10-04,2020,4,4.880813592280791,Early
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,64925000,2023-01-31,2023,1,7.8124119583013405,Growth
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,215209000,2022-11-07,2022,4,8.332860429487877,Late
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,2023-03-18,2023,1,5.2576785748691846,Early
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,457000,2024-01-08,2024,1,5.65991620006985,Early
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,9144000,2023-10-24,2023,4,6.961136217387225,Growth
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,26000,2020-04-23,2020,2,4.414973347970818,Early
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,24000,2021-04-06,2021,2,4.380211241711606,Early
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,122000,2023-07-04,2023,3,5.086359830674748,Early
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,1287000,2023-04-04,2023,2,6.109578546904387,Growth
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,1369000,2025-04-26,2025,2,6.13640344813399,Early
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,1385000,2025-05-13,2025,2,6.141449773400467,Early
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,5554000,2022-09-18,2022,3,6.744605875414239,Growth
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,175000,2022-01-28,2022,1,5.243038048686294,Early
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,181000,2020-07-17,2020,3,5.2576785748691846,Early
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,142830000,2025-03-27,2025,1,8.154819436194174,Late
NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,2022-10-15,2022,4,8.727173496295455,Late
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,2020-04-13,2020,2,5.887054378050957,Early
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,888000,2021-06-25,2021,2,5.948412965778601,Early
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,2021-08-14,2021,3,5.642464520242122,Early
